parallax,Av. error (mm),Info,Higher Info
"2,25","1,43",seq0_no_checks,105-2-115_TwoPoints
"2,25","1,71",seq0_no_checks,105-2-115_TwoPoints
"1,09","21,89",seq0_no_checks,105-2-115_TwoPoints
"1,09","23,20",seq0_no_checks,105-2-115_TwoPoints
"0,34","132,08",seq0_no_checks,105-2-115_TwoPoints
"0,34","131,07",seq0_no_checks,105-2-115_TwoPoints
"0,38","31,61",seq0_no_checks,105-2-115_TwoPoints
"0,38","32,62",seq0_no_checks,105-2-115_TwoPoints
"0,47","96,07",seq0_no_checks,105-2-115_TwoPoints
"0,47","94,99",seq0_no_checks,105-2-115_TwoPoints
"1,55","9,79",seq0_no_checks,105-2-115_TwoPoints
"1,55","8,67",seq0_no_checks,105-2-115_TwoPoints
"0,77","52,79",seq0_no_checks,105-2-115_TwoPoints
"0,77","51,66",seq0_no_checks,105-2-115_TwoPoints
"1,80","1,02",seq0_no_checks,105-2-115_TwoPoints
"1,80","1,00",seq0_no_checks,105-2-115_TwoPoints
"1,86","15,83",seq0_no_checks,105-2-115_TwoPoints
"1,86","15,59",seq0_no_checks,105-2-115_TwoPoints
"1,85","13,03",seq0_no_checks,105-2-115_TwoPoints
"1,85","14,37",seq0_no_checks,105-2-115_TwoPoints
"0,39","85,91",seq0_no_checks,105-2-115_TwoPoints
"0,39","88,38",seq0_no_checks,105-2-115_TwoPoints
"1,75","5,94",seq0_no_checks,105-2-115_TwoPoints
"1,75","5,57",seq0_no_checks,105-2-115_TwoPoints
"1,42","15,20",seq0_no_checks,105-2-115_TwoPoints
"1,42","16,72",seq0_no_checks,105-2-115_TwoPoints
"1,44","17,05",seq0_no_checks,105-2-115_TwoPoints
"1,44","18,57",seq0_no_checks,105-2-115_TwoPoints
"0,81","26,60",seq0_no_checks,105-2-115_TwoPoints
"0,81","27,58",seq0_no_checks,105-2-115_TwoPoints
"0,81","26,93",seq0_no_checks,105-2-115_TwoPoints
"0,81","27,91",seq0_no_checks,105-2-115_TwoPoints
"1,27","23,95",seq0_no_checks,105-2-115_TwoPoints
"1,27","25,35",seq0_no_checks,105-2-115_TwoPoints
"0,83","16,86",seq0_no_checks,105-2-115_TwoPoints
"0,83","18,03",seq0_no_checks,105-2-115_TwoPoints
"0,93","19,06",seq0_no_checks,105-2-115_TwoPoints
"0,93","18,19",seq0_no_checks,105-2-115_TwoPoints
"1,76","20,11",seq0_no_checks,105-2-115_TwoPoints
"1,76","20,02",seq0_no_checks,105-2-115_TwoPoints
"1,87","16,93",seq0_no_checks,105-2-115_TwoPoints
"1,87","16,80",seq0_no_checks,105-2-115_TwoPoints
"0,07","530,11",seq0_no_checks,105-2-115_TwoPoints
"0,07","531,47",seq0_no_checks,105-2-115_TwoPoints
"1,70","15,24",seq0_no_checks,105-2-115_TwoPoints
"1,70","16,93",seq0_no_checks,105-2-115_TwoPoints
"0,92","31,67",seq0_no_checks,105-2-115_TwoPoints
"0,92","31,26",seq0_no_checks,105-2-115_TwoPoints
"0,33","121,12",seq0_no_checks,105-2-115_TwoPoints
"0,33","122,50",seq0_no_checks,105-2-115_TwoPoints
"0,64","19,60",seq0_no_checks,105-2-115_TwoPoints
"0,64","18,67",seq0_no_checks,105-2-115_TwoPoints
"0,08","554,05",seq0_no_checks,105-2-115_TwoPoints
"0,08","553,00",seq0_no_checks,105-2-115_TwoPoints
"1,31","23,27",seq0_no_checks,105-2-115_TwoPoints
"1,31","23,85",seq0_no_checks,105-2-115_TwoPoints
"1,31","35,51",seq0_no_checks,105-2-115_TwoPoints
"1,31","36,88",seq0_no_checks,105-2-115_TwoPoints
"0,58","8,83",seq0_no_checks,105-2-115_TwoPoints
"0,58","7,91",seq0_no_checks,105-2-115_TwoPoints
"1,30","38,05",seq0_no_checks,105-2-115_TwoPoints
"1,30","38,04",seq0_no_checks,105-2-115_TwoPoints
"1,30","38,24",seq0_no_checks,105-2-115_TwoPoints
"1,30","38,21",seq0_no_checks,105-2-115_TwoPoints
"1,49","20,56",seq0_no_checks,105-2-115_TwoPoints
"1,49","20,60",seq0_no_checks,105-2-115_TwoPoints
"0,82","26,73",seq0_no_checks,105-2-115_TwoPoints
"0,82","27,77",seq0_no_checks,105-2-115_TwoPoints
"1,42","33,73",seq0_no_checks,105-2-115_TwoPoints
"1,42","33,67",seq0_no_checks,105-2-115_TwoPoints
"1,47","31,14",seq0_no_checks,105-2-115_TwoPoints
"1,47","31,08",seq0_no_checks,105-2-115_TwoPoints
"0,80","26,51",seq0_no_checks,105-2-115_TwoPoints
"0,80","27,67",seq0_no_checks,105-2-115_TwoPoints
"1,55","12,27",seq0_no_checks,105-2-115_TwoPoints
"1,55","11,84",seq0_no_checks,105-2-115_TwoPoints
"1,21","22,94",seq0_no_checks,105-2-115_TwoPoints
"1,21","24,38",seq0_no_checks,105-2-115_TwoPoints
"1,16","12,74",seq0_no_checks,105-2-115_TwoPoints
"1,16","14,16",seq0_no_checks,105-2-115_TwoPoints
"1,52","14,85",seq0_no_checks,105-2-115_TwoPoints
"1,52","14,49",seq0_no_checks,105-2-115_TwoPoints
"1,21","10,26",seq0_no_checks,105-2-115_TwoPoints
"1,21","11,77",seq0_no_checks,105-2-115_TwoPoints
"1,89","7,77",seq0_no_checks,105-2-115_TwoPoints
"1,89","7,58",seq0_no_checks,105-2-115_TwoPoints
"1,37","17,49",seq0_no_checks,105-2-115_TwoPoints
"1,37","19,24",seq0_no_checks,105-2-115_TwoPoints
"1,38","2,61",seq0_no_checks,105-2-115_TwoPoints
"1,38","4,25",seq0_no_checks,105-2-115_TwoPoints
"1,65","21,52",seq0_no_checks,105-2-115_TwoPoints
"1,65","21,43",seq0_no_checks,105-2-115_TwoPoints
"1,39","8,82",seq0_no_checks,105-2-115_TwoPoints
"1,39","7,62",seq0_no_checks,105-2-115_TwoPoints
"1,19","70,74",seq0_no_checks,105-2-115_TwoPoints
"1,19","64,73",seq0_no_checks,105-2-115_TwoPoints
"1,81","2,68",seq0_no_checks,105-2-115_TwoPoints
"1,81","2,51",seq0_no_checks,105-2-115_TwoPoints
"0,23","199,29",seq0_no_checks,105-2-115_TwoPoints
"0,23","200,67",seq0_no_checks,105-2-115_TwoPoints
